Details of Gas Charges,,,,
11/15/2022 - 12/13/2022 (29 billing days),,,,
Service For: 1530 SOUTHWEST EXPY HM1,,,,
Service Agreement ID: 7436376068,,,,
Rate Schedule: G1 X Residential Service,,,,
11/15/2022 - 11/30/2022,Your Tier Usage,1,2,
Tier 1 Allowance,23.68,,,
Tier 1 Usage,23.68,,,
Tier 2 Usage,963.35,,,
Gas PPP Surcharge (\$0.10346 /Therm),,,,102.12
San Jose Utility Users' Tax (5.000\%),,,,136.09
San Jose Franchise Surcharge,,,,8.17
12/01/2022 - 12/13/2022,Your Tier Usage,1,2,
Tier 1 Allowance,26.00,,,
Tier 1 Usage,26.00,,,
Tier 2 Usage,775.96,,,
Gas PPP Surcharge (\$0.10346 /Therm),,,,82.98
San Jose Utility Users' Tax (5.000\%),,,,112.04
San Jose Franchise Surcharge,,,,6.72
