Customer Charge,0.00,,,\$519.20
Standard Metering Charge,0.00,,,\$28.38
Distribution Facilities Charge,"1,773.36",kW,6.84,"\$12,129.78"
Single Bill Option Credit,0.00,,,$\$-0.47$
IL Electricity Distribution Charge,"744,629.00",kWh,0.00115,\$856.32
Environmental Cost Recovery Adj,"744,629.00",kWh,0.00002,\$14.89
Energy Efficiency Programs,"744,629.00",kWh,0.0014,"\$1,042.48"
Franchise Cost,"13,528.38",DO,0.01808,\$244.59
State Tax,0.00,,,"\$2,198.86"
Municipal Tax,0.00,,,"\$1,554.56"
Total Current Charges,0.00,,,"\$18,588.59"
