Customer Charge,0.00,,,\$519.20
Standard Metering Charge,0.00,,,\$28.38
Distribution Facilities Charge,"1,762.56",kW,6.84,"\$12,055.91"
Single Bill Option Credit,0.00,,,$\$-0.47$
IL Electricity Distribution Charge,"771,912.00",kWh,0.00115,\$887.70
Environmental Cost Recovery Adj,"771,912.00",kWh,0.0002,\$154.38
Energy Efficiency Programs,"771,912.00",kWh,0.0014,"\$1,080.68"
Franchise Cost,"13,485.89",DO,0.01808,\$243.82
State Tax,0.00,,,"\$2,276.89"
Municipal Tax,0.00,,,"\$1,562.20"
Total Current Charges,0.00,,,"\$18,808.69"
