Customer Charge,0.00,,,\$520.59
Standard Metering Charge,0.00,,,\$28.46
Distribution Facilities Charge,"$1,540.08$",kW,6.86,"\$10,564.95"
Single Bill Option Credit,0.00,,,$\$-0.47$
IL Electricity Distribution Charge,"643,809.00",kWh,0.00115,\$740.38
Environmental Cost Recovery Adj,"643,809.00",kWh,0.0002,\$128.76
Energy Efficiency Programs,"643,809.00",kWh,0.00135,\$869.14
Franchise Cost,"11,849.08",DO,0.01805,\$213.88
State Tax,0.00,,,"\$1,910.51"
Municipal Tax,0.00,,,"\$1,526.33"
Total Current Charges,0.00,,,"\$18,502.53"
