Customer Service,1-866-591-0157
Previous Balance 835.82,
Payment Received 835.92 CR,
Balance Forward,0.00
Non-Residential Service (Schedule GS-2) 07/31-08/29,
Distribution Service,
Basic Customer Charge,19.23
Additional GS Surcharge,786.61
SOUTHAMPTON Utility Tax,2.29
Total Current Charges,808.13
Total Account Balance,808.13
"View payment options, request service charges and enroll in e5.3 at www.dominionenergy.com, search: Manage Your Account",
Billing and Payment Summary,
Account \# 5485709546,"Due Date: Sep 25, 2019"
Total Amount Dues - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -,
"To avoid a Late Payment Charge of 1.5\% please pay by Sep 25, 2019.",
Previous Amount Due:,\$ 0.00
Payments as of Sep 03:,\$ 835.92 CR
