Customer Service,1-866-591-0157
Previous Balance,"1,323.08"
Payment Received,"1,323.08CR"
Balance Forward,0.00
Non-Residential Service (Schedule GS-2) 07/31-08/29,
Distribution Service,
Basic Customer Charge,19.23
Distribution Service kWh,0.25
Dist Serv Demand Charge,48.15
All Applicable Distribution Riders,6.14
Electricity Supply Swc (ESS),
Electricity Supply KWh,121.94
Demand Charge,29.00
Transmission Demand Chg,28.58
Fuel,76.41
All Other Applicable ESS Riders,47.28
Additional GS Surcharge,888.80
Sales and Use Surcharge,1.51
"Statef,ocal Consumption Tax",4.56
SOUTHAMIPTON Utility Tax,51.24
Total Current Charges,"1,321.09"
Total Account Balance,"1,321.09"
"View payment options, request service changes and enroll in e Bill at www.domininonenergy.com, search: Manage Your Account",
