Customer Service,1-866-DOM-HELP (1-866-366-4357)
Previous Balance,"5,510.17"
Payment Received,"5,510.17 CR"
Balance Forward,0.00
Non-Residential Service (Schedule GS-2) 08/06-09/05,
Distribution Service,
Basic Customer Charge,19.89
Distribution Service kWh,2.78
Dist Serv Demand Charge,499.73
All Applicable Distribution Riders,69.09
Electricity Supply Svo (ESS),
Electricity Supply kWh,"1,356.05"
Demand Charge,314.00
Transmission Demand Chg,309.44
Fuel,851.33
All Other Applicable ESS Riders,556.15
Sales and Use Surcharge,17.04
State/Local Consumption Tax,37.30
SUFFOLK Utility Tax,287.51
Total Current Charges,"4,330.31"
