Meter and Usage,Usage History,,
Current Billing Days: 29,,,
,,Me,Yr
,,Sep,18
Billingle Usage,,Oct,18
Schedule GS-2,07/31-08/29,Nov,18
Total KWh,3286,Dec,18
Demand,15.0,Jan,19
,,Feb,19
Measured Usage,,Mar,18
Meter: 00R5037559,07/31-08/29,Apr,19
Total kWh,3286,May,19
Demand,15.60,Jun,19
,,Jul,19
Meter: 00R5226659,07/31-08/29,Aug,19
Current Reading,514,Sep,19
Previous Reading,507,,
Total KCH,5040,,
Current Reading,458,,
Previous Reading,454,,
Total KWh,2880,,
Multiplier: 720,,,
