Monthly service charge,$\$ 370.81$
Charges for delivering electric to you:,
Annual Demand,"$404.600 \mathrm{~kW} \times \$ 4,467993$"
The highest Measured Demand in any time period in the,"$\$ 1,807.75$"
current month,
kWh - On-peak,
For the first,"$4,243 \mathrm{kWh} \times \$ 0.005925$"
For the next,"$41,038 \mathrm{kWh} \times \$ 0.006029$"
kWh - Off-peak,
For the first,"$10,571 \mathrm{kWh} \times \$ 0.005924$"
For the next,"$71,771 \mathrm{kWh} \times \$ 0.006029$"
Societal Benefits,"$127,623 \mathrm{kWh} \times \$ 0.010413$"
This charge recovers the cost of government mandated,
"programs designed to achieve public policy goals, such as",
energy conservation.,
