,Generation \& Transmission Charges for Nov 10-Dec 10,
,Gross Receipts Tax,11.76
,State Sales Tax,11.97
,ENERGY CHARGE: 1474\#. 0088 PER KWH,12.99
,ENERGY CHARGE: 1474\#. 0118 PER KWH,$-17.32$
,ENERGY CHARGE: 1474\#. 0004 PER KWH,0.57
,ENERGY CHARGE: 201\#. 0168 PER KWH,3.37
,ENERGY CHARGE: 80\#. 0509 PER KWH,4.08
,ENERGY CHARGE: 1474\#. 0622 PER KWH,91.73
,ENERGY CHARGE: 1554\#. 0001 PER KWH,0.16
,ENERGY CHARGE: 1474\#. 0032 PER KWH,4.66
,ENERGY CHARGE: 1554\#. 0006 PER KWH,0.90
,CAPACITY CHARGE,33.69
,TRANSMISSION CHARGE,52.77
,Total Freepoint Energy Solutions LLC Charges,\$211.33
