CHARGE TYPE,QUANTITY,UOM,RATE,AMOUNT
Franchise Cost,0.00,0.0000000000000000,$\$ 812.43$,
Environmental Cost Recovery Adj,256994.00 KH,0.0002400000000000,$\$ 61.68$,
Municipal Tax,0.00,0.0000000000000000,$\$ 962.57$,
Customer Charge,0.00,0.0000000000000000,$\$ 101.60$,
Single Bill Option Credit,0.00,0.0000000000000000,$\$ 0.50$,
Zero Emission Standard,256994.00 KH,0.0019500000000000,$\$ 501.14$,
Distribution Facilities Charge,505.44 K1,6.5100000000000000,"$\$ 3,290.41$",
Energy Efficiency Programs,256994.00 KH,0.0001900000000000,$\$ 48.83$,
II. Electricity Distribution Charge,256994.00 KH,0.0011900000000000,$\$ 305.82$,
State Tax,0.00,0.0000000000000000,$\$ 777.49$,
Renewable Portfolio Standard,256994.00 KH,0.0014200000000000,$\$ 364.93$,
Standard Metering Charge,0.00,0.0000000000000000,$\$ 27.47$,
Total New Charges,,,"\$7,253.87",
