www.nationalgridus.com,,,
CUSTICAIER SERVICE,,,
1-800-930-8003,,,
Monday-Febry. 8AM-8PM,,,
GAS EMERGENCIES,,,
1-800-490-0048,,,
24 Hourly Day - P Days,Week,,
(Dose not replace 811 emergency,,,
medical services),,,
PARA ESPANOL,,,
1-800-930-5003,,,
CORRESPONDENCE ADDRESS,,,
Accounts Processing KEDLI,,,
One MetroTech Center,,,
"Brooklyn, NY 11201-3948",,,
PAYMENT ADDRESS,,,
PO Box 11791,,,
"Newark, NJ 07101-4791",,,
DATE BILL ISSUED,,,
"Mar 20, 2019",,,
Gas Usage History,,,
Month,Theme,Month,Theme
Mar 18,1451,Oct 18,1088
Apr 18,1299,Nov 18,1227
May 18,1158,Dec 18,1488
Jun 18,1168,Jan 19,1517
Jul 18,1087,Feb 19,1513
Aug 18,1082,Mar 19,1575
Sep 18,1238,,
