www.nationalgridus.com,,,,
CUSTOMER SERVICE,,,,
1-800-930-5003,,,,
Monday-Finlory: 8AM-8PM,,,,
GAS EMERGENCIES,,,,
1-800-490-0648,,,,
"24 Hours,Day -7 Days/Week",,,,
(Close out replace 811 emergency medical services),,,,
PARA ESPANOL,,,,
1-800-930-8003,,,,
CORRESPONDENCE ADDRESS,,,,
Accounts Processing KEDLI,,,,
One MetroTech Center,,,,
"Brooklyn, NY 11201-3948",,,,
PRYMENT ADDRESS,,,,
PO Box 11791,,,,
"Newark, NJ 07101-4791",,,,
DATE BILL ISSUED,,,,
"Mar 13, 2019",,,,
Gas Usage History,,,,
Month,Theme,Month,Theme,
Mar 18,3754,Oct 18,3125,
Apr 18,3384,Nov 18,3065,
May 18,3287,Dec 18,3784,
Jun 18,3894,Jan 18,3489,
Jul 18,3227,Feb 19,3586,
Aug 18,3111,Mar 19,3885,
Sep 18,3391,,,
