www.nationalgridus.com,,,
OUSTOMER SERVIC,,,
1-800-930-5003,,,
"Monday-Febry,",,,
GAS EMERGENCIES,,,
1-800-490-0048,,,
24 Hore Day - 7 Days,,,
(O,,,
PARA ESPAN,,,
1-800-930-8003,,,
CORRESPONDENCE ADDRESS,,,
Accounts Processing KED,,,
One MetroTech Center,,,
"Brooklyn, NY 11201-3948",,,
PAYMENT ADDRESS,,,
PO Box 11791,,,
"Newark, NJ 07101-4791",,,
DATE BLL ISSUED,,,
"Mar 8, 2019",,,
Gas Usage History,,,
Month,Theme,Month,Theme
Mar 18,5647,Oct 18,3479
Apr 18,5807,Nov 18,4483
May 18,4140,Dec 18,5879
Jun 18,3952,Jan 18,6475
Jul 18,3528,Feb 18,6369
Aug 18,3282,Mar 18,5810
Sep 18,3151,,
