,SERVICE FOR,,
GOLD COAST REST CORP,,,PAGE 1 of 3
2 MIDDLENECK RD,"Feb 7, 2018 to Mar 8, 2018",,
ROSLYN NY 11576,ACCOUNI NUMBER,BLACK MATH,ABOUR 1905
,29760-25002,"Apr 5, 2018","\$ 3,408.11"
www.nationalgridus.com,,,
CUSTOMER SERVICE,,,
1-800-930-5003,,,
Minutes-Fixley: 9/88/9/99,,,
GAS EMERGENCIES,,,
1-800-490-0045,,,
24 Hours Day - 7 Days/Week,,,
(Does not replace \#11 emergency,,,
medical services),,,
PARA ESPAVEA,,,
1-800-930-5003,,,
CORRESPONDENCE ADDRESS,,,
Accounts Processing KEDLI,,,
One MetroTech Center,,,
"Brooklyn, NY 11201-3948",,,
PAYMENT ADDRESS,,,
PO Box 11791,,,
"Newark, NJ 07101-4791",,,
DATE BILL ISSUED,,,
"Mar 12, 2018",,,
