Monthly service charge,,$\$ 179.66$
Charges for delivering gas to you:,,
For the First,733.000 therms $\times \$ 0.012674$,\$9.29
For the Next,"3,322.610 therms $\times \$ 0.030849$",$\$ 102.50$
For the Next,267.000 therms $\times \$ 0.020674$,$\$ 5.52$
For the Next,"1,208.815 therms $\times \$ 0.038865$",$\$ 46.98$
Demand,348.915 therms $\times \$ 4.665291$,"\$1,627.79"
The highest average daily use of gas over the most recent billing months of November to March,,
Balancing Charge,"2,394.120 therms $\times \$ 0.097915$",$\$ 234.42$
Societal Benefits,"5,531.425 therms $\times \$ 0.051186$",$\$ 283.13$
"This charge recovers the cost of government mandated programs designed to achieve public policy goals, such as energy conservation.",,
Total gas delivery charges,,"\$2,489.29"
