Monthly service charge,,\$20.23
Charges for delivering gas to you:,,
,"29,328 therms $\times \$ 0.355292$",$\$ 10.42$
Balancing Charge,"4,114 therms $\times \$ 0.097229$",$\$ 0.40$
Societal Benefits,"29,328 therms $\times \$ 0.055237$",$\$ 1.62$
"This charge recovers the cost of government mandated programs designed to achieve public policy goals, such as energy conservation.",,
Total gas delivery charges,,\$32.67
Supply charges,,
Cost of gas supplied by PSE\&G:,,
,"29,328 therms $\times \$ 0.439171$",$\$ 12.88$
Total gas supply charges,,\$12.88
Total gas charges,,\$45.55
