Generation \& Transmission Charges for Oct 22-Nov 22,
State Sales Tax,105.01
Gross Receipts Tax,103.26
ENERGY CHARGE: 13164@.0088 PER KWH,115.97
ENERGY CHARGE: 13164@-.0105 PER KWH,$-138.25$
ENERGY CHARGE: 13164@.0007 PER KWH,8.84
ENERGY CHARGE: 1422@.0168 PER KWH,23.83
ENERGY CHARGE: 746@.0608 PER KWH,45.33
ENERGY CHARGE: 13164@.0703 PER KWH,925.78
ENERGY CHARGE: 13910@.0001 PER KWH,1.63
ENERGY CHARGE: 13164@.0031 PER KWH,41.37
ENERGY CHARGE: 13910@.0006 PER KWH,8.07
CAPACITY CHARGE,231.63
TRANSMISSION CHARGE,382.97
Total Freepoint Energy Solutions LLC Charges,"\$1,855.44"
