Service For: 4300 THE WOODS DR BLDG 9,Meter Number,Usage,Amount
Service Agreement ID: 3594962272,,,
PG&E Gas Delivery Charges,61030187,5.000000 Therm,$\$ 10.82$
Service Agreement ID: 3595080993,,,
COMMERCIAL ENERGY Gas Procurement Charges,,5.000000 Therm,$\$ 4.09$
Total,,,$\$ 14.91$
Service For: 4300 THE WOODS DR BLDG 9,,,
Service Agreement ID: 3597615844,,,
PG&E Electric Delivery Charges,1009115017,191.000000 kWh,$\$ 23.32$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 3596752858,,,
SAN JOSE CLEAN ENERGY Electric Generation,,191.000000 kWh,$\$ 28.21$
Total,,,$-\$ 3.81$
Service For: 4300 THE WOODS DR BLDG 10,,,
Service Agreement ID: 3597340163,,,
PG&E Electric Delivery Charges,1009180549,129.000000 kWh,$\$ 44.38$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 3592406245,,,
SAN JOSE CLEAN ENERGY Electric Generation,,129.000000 kWh,$\$ 19.37$
Total,,,$\$ 8.41$
Service For: 4300 THE WOODS DR BLDG 11,,,
Service Agreement ID: 3590061900,,,
PG&E Electric Delivery Charges,1009180475,47.000000 kWh,$\$ 23.32$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 3592863684,,,
SAN JOSE CLEAN ENERGY Electric Generation,,47.000000 kWh,$\$ 0.00$
Total,,,$-\$ 32.02$
Service For: 4300 THE WOODS DR BLDG 12,,,
Service Agreement ID: 3590696528,,,
PG&E Gas Delivery Charges,62182396,370.000000 Therm,$\$ 800.89$
Service Agreement ID: 3590499074,,,
COMMERCIAL ENERGY Gas Procurement Charges,,370.000000 Therm,$\$ 303.81$
Total,,,"$\$ 1,104.70$"
Service For: 4300 THE WOODS DR BLDG 12,,,
Service Agreement ID: 3598173171,,,
PG&E Electric Delivery Charges,1009116036,621.000000 kWh,$\$ 12.79$
Electric Adjustments,,,$-55.34$
