,Meter Number,Usage,Amount
Service For: 4300 THE WOODS DR BLDG 1,,,
Service Agreement ID: 3599590176,,,
PG\&E Electric Delivery Charges,1009115689,206.000000 kWh,$\$ 12.79$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 3592315464,,,
SAN JOSE CLEAN ENERGY Electric Generation,,206.000000 kWh,\$30.17
Total,,,-\$12.38
Service For: 4300 THE WOODS DR BLDG 2,,,
Service Agreement ID: 3592118603,,,
PG\&E Gas Delivery Charges,62557917,444.000000 Therm,"\$1,053.30"
Service Agreement ID: 3592380267,,,
COMMERCIAL ENERGY Gas Procurement Charges,,444.000000 Therm,\$364.57
Total,,,"\$1,417.87"
Service For: 4300 THE WOODS DR BLDG 3,,,
Service Agreement ID: 3592038629,,,
PG\&E Electric Delivery Charges,1009115672,8.000000 kWh,$\$ 12.79$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 3591069847,,,
SAN JOSE CLEAN ENERGY Electric Generation,,8.000000 kWh,$\$ 0.00$
Total,,,-\$42.55
Service For: 4300 THE WOODS DR BLDG 3A,,,
Service Agreement ID: 3593990132,,,
PG\&E Electric Delivery Charges,1010602102,91.000000 kWh,$\$ 12.79$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 3594033632,,,
SAN JOSE CLEAN ENERGY Electric Generation,,91.000000 kWh,$\$ 7.50$
Total,,,-\$35.05
Service For: 4300 THE WOODS DR BLDG 3B,,,
Service Agreement ID: 3591258715,,,
PG\&E Electric Delivery Charges,1009115670,6.000000 kWh,$\$ 23.32$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 3597827737,,,
SAN JOSE CLEAN ENERGY Electric Generation,,6.000000 kWh,$\$ 0.82$
Total,,,-\$31.20
Service For: 4300 THE WOODS DR BLDG 4,,,
Service Agreement ID: 3597043846,,,
PG\&E Gas Delivery Charges,62391705,435.000000 Therm,"\$1,077.66"
