Service Agreement ID: 3594929320,Meter Number,Usage,Amount
SAN JOSE CLEAN ENERGY Electric Generation,,93.000000 kWh,\$0.00
Total,,,-\$21.49
Service For: 4300 THE WOODS DR BLDG 23,,,
Service Agreement ID: 3592428921,,,
PG&E Electric Delivery Charges,1009114082,174.000000 kWh,\$44.38
Electric Adjustments,,,-55.34
Service Agreement ID: 3592048280,,,
SAN JOSE CLEAN ENERGY Electric Generation,,174.000000 kWh,\$25.60
Total,,,\$14.64
Service For: 4300 THE WOODS DR BLDG 24,,,
Service Agreement ID: 3598232095,,,
PG&E Gas Delivery Charges,61549499,608.000000 Therm,"\$1,316.05"
Service Agreement ID: 3594149050,,,
COMMERCIAL ENERGY Gas Procurement Charges,,608.000000 Therm,\$499.24
Total,,,"\$1,815.29"
Service For: 4300 THE WOODS DR,,,
Service Agreement ID: 3598355484,,,
PG&E Gas Delivery Charges,40164806,17.000000 Therm,\$37.73
Service Agreement ID: 3591576706,,,
COMMERCIAL ENERGY Gas Procurement Charges,,17.000000 Therm,\$13.97
Total,,,\$51.70
