Details of Gas Charges,
11/23/2022 - 12/22/2022 (30 billing days),
Service For: 400 E REMINGTON DR,
Service Agreement ID: 8659214727,
Rate Schedule: GM X Master-Metered Multi-Family Service,
Number of Dwelling Units: 33,
11/23/2022 - 11/30/2022,
Tier 1 Allowance,176.88000 Therm
Tier 1 Usage,65.600000 Therm
Gas PPP Surcharge (\$0.10346 /Therm),
Sunnyvale Utility Users' Tax (2.000\%),
12/01/2022 - 12/22/2022,
Tier 1 Allowance,559.02000 Therm
Tier 1 Usage,180.400000 Therm
Gas PPP Surcharge (\$0.10346 /Therm),
Sunnyvale Utility Users' Tax (2.000\%),
,$\$ 610.21$
