State and Local Taxes and Other Mandated Charges,CHARGE DESCRIPTION,,,
,Customer Generation Charge,,,
,Clean Energy Assistance Charge,"107,043.00 kWh",@ $ 0.00181000,$193.75
,Renewable Energy Adjustment*,"107,043.00 kWh",@ $ 0.00458000,$490.26
,EDT Cost Recovery,"107,043.00 kWh",@ $ 0.00124840,$133.63
,Electric Environmental Adjustment,"107,043.00 kWh",@ $ 0.00085380,$91.39
,Energy Efficiency Programs Charge,"107,043.00 kWh",@ $ 0.00176000,$188.40
,Energy Transition Assistance Charge*,"107,043.00 kWh",@ $ 0.00072000,$77.07
,Galesburg Municipal Tax,,,$421.12
,Illinois State Electricity Excise Tax,,,$332.14
,,,,"$1,961.80"
