Atty GenI consultant exp adj,11010.00kWh X \$0.00002,$\$ 0.22$
Storm recovery adjustment,11010.00kWh X $\$ 0.00218$,$\$ 24.00$
Exogenous Cost Adjustment,11010.00kWh X $\$ 0.00070$,$\$ 7.71$
Revenue Decoupling Adj,11010.00kWh X $\$ 0.00212$,$\$ 23.34$
Lng-Trm Rnwbl Contr Adj,11010.00kWh X $\$ 0.00306$,$-\$ 33.69$
Vegetation Management,11010.00kWh X $\$ 0.00089$,$\$ 9.80$
Solar Expansion Charge,11010.00kWh X $\$ 0.00027$,$-\$ 2.97$
Grid Modernization Charge,11010.00kWh X $\$ 0.00130$,$\$ 14.31$
Tax Act Credit,11010.00kWh X $\$ 0.00113$,$-\$ 12.44$
Distributed Solar Charge,11010.00kWh X $\$ 0.00327$,$\$ 36.00$
Advanced Meter Infrastructure,11010.00kWh X $\$ 0.00222$,$\$ 24.44$
Subtotal Delivery Services,,$\$ 999.55$
Total Cost of Electricity,,"$\$ 2,172.12$"
