Res Assist Adj Clause,149.90kWh X $\$ 0.00298$,$\$ 0.45$
Pension/PBOP Adj Mechn PPAM,149.90 kWh X $\$ 0.00304$,$\$ 0.46$
Basic Srvc Cost Adj,149.90 kWh X $\$ 0.00005$,$-\$ 0.01$
Net metering recovery surchrge,149.90 kWh X $\$ 0.00394$,$\$ 0.59$
Transition Chrg,149.90 kWh X $\$ 0.00177$,$-\$ 0.27$
Renew Enrgy Investmnt Chrg,149.90 kWh X $\$ 0.00050$,$\$ 0.07$
Energy Efficiency,149.90 kWh X $\$ 0.01094$,$\$ 1.64$
Storm recovery adjustment,149.90 kWh X $\$ 0.00064$,$\$ 0.10$
Revenue Decoupling Adj,149.90 kWh X $\$ 0.00139$,$\$ 0.21$
Lng-Trm Rnwbl Contr Adj,149.90 kWh X $\$ 0.00045$,$-\$ 0.07$
Vegetation Management,149.90 kWh X $\$ 0.00405$,$\$ 0.61$
Solar Expansion Charge,149.90 kWh X $\$ 0.00052$,$\$ 0.08$
Grid Modernization Charge,149.90 kWh X $\$ 0.00097$,$\$ 0.15$
Tax Act Credit,149.90 kWh X $\$ 0.00085$,$-\$ 0.13$
Distributed Solar Charge,149.90 kWh X $\$ 0.00177$,$\$ 0.27$
Allocated for 12/31/22 to 04/07/23,,
Transmission Chrg,565.40 kWh X $\$ 0.01602$,$\$ 9.06$
Distribution Services,,$\$ 52.52$
Exogenous Cost Adjustment,565.40 kWh X $\$ 0.00070$,$\$ 0.40$
Res Assist Adj Clause,565.40 kWh X $\$ 0.00962$,$\$ 5.44$
Pension/PBOP Adj Mechn PPAM,565.40 kWh X $\$ 0.00058$,$-\$ 0.33$
Basic Srvc Cost Adj,565.40 kWh X $\$ 0.00222$,$\$ 1.26$
Net metering recovery surchrge,565.40 kWh X $\$ 0.00524$,$\$ 2.96$
Solar Program Cost Adjustment,565.40 kWh X $\$ 0.00003$,$-\$ 0.02$
Transition Chrg,565.40 kWh X $\$ 0.00411$,$-\$ 2.32$
Renew Enrgy Investmnt Chrg,565.40 kWh X $\$ 0.00050$,$\$ 0.28$
Energy Efficiency,565.40 kWh X $\$ 0.01094$,$\$ 6.19$
Atty Geni consultant exp adj,565.40 kWh X $\$ 0.00002$,$\$ 0.01$
Storm recovery adjustment,565.40 kWh X $\$ 0.00218$,$\$ 1.23$
Revenue Decoupling Adj,565.40 kWh X $\$ 0.00212$,$\$ 1.20$
Lng-Trm Rnwbl Contr Adj,565.40 kWh X $\$ 0.00306$,$\$ 1.73$
Vegetation Management,565.40 kWh X $\$ 0.00089$,$\$ 0.50$
Solar Expansion Charge,565.40 kWh X $\$ 0.00027$,$-\$ 0.15$
Grid Modernization Charge,565.40 kWh X $\$ 0.00130$,$\$ 0.74$
Tax Act Credit,565.40 kWh X $\$ 0.00113$,$-\$ 0.64$
Distributed Solar Charge,565.40 kWh X $\$ 0.00327$,$\$ 1.85$
Advanced Meter infrastructure,565.40 kWh X $\$ 0.00222$,$\$ 1.26$
(S1 STREETLIGHTING),,
Service Reference: 878741000,,
Allocated for 12/09/22 to 12/31/22,,
Transmission Chrg,98.80 kWh X $\$ 0.01594$,$\$ 1.57$
