Atty GenI consultant exp adj,11609.00kWh X $\$ 0.00002$,$\$ 0.23$
Storm recovery adjustment,11609.00 kWh X $\$ 0.00218$,$\$ 25.31$
Exogenous Cost Adjustment,11609.00 kWh X $\$ 0.00070$,$\$ 8.13$
Revenue Decoupling Adj,11609.00 kWh X $\$ 0.00212$,$\$ 24.61$
Lng-Trm Rnwbl Contr Adj,11609.00 kWh X $\$ 0.00306$,$-\$ 35.52$
Vegetation Management,11609.00 kWh X $\$ 0.00089$,$\$ 10.33$
Solar Expansion Charge,11609.00 kWh X $\$ 0.00027$,$-\$ 3.13$
Grid Modernization Charge,11609.00 kWh X $\$ 0.00130$,$\$ 15.09$
Tax Act Credit,11609.00 kWh X $\$ 0.00113$,$-\$ 13.12$
Distributed Solar Charge,11609.00 kWh X $\$ 0.00327$,$\$ 37.96$
Advanced Meter Infrastructure,11609.00 kWh X $\$ 0.00222$,$\$ 25.77$
Subtotal Delivery Services,,"$\$ 1,062.20$"
Total Cost of Electricity,,"$\$ 2,298.56$"
