60,7076009629,1,"505 STEVENS ST SCHOOL STS, NOKOMIS, IL 62075"
61,7466003815,19,"422E FOURTH SOUTH ST, ARCOLA, IL 61910"
62,7636001726,1,"310 S EADS AVE, PARIS, IL 61944"
63,7671007424,1,"601 N COLUMBIA ST, WEST FRANKFORT, IL 62896"
64,7873003144,1,"400 W GRANT ST, MACOMB, IL 61455"
65,7946009124,2,"1203 EGYPTIAN TRL UNIT B, TUSCOLA, IL 61953"
66,8143003141,1,"1400 E WASHINGTON ST, PITTSFIELD, IL 62363"
67,8157289011,2,"1925 S MAIN ST, BLOOMINGTON, IL 61704"
68,8356003130,1,"418 S MEMORIAL, NEWMAN, IL 61942"
69,8603045037,1,"141 ACORN ST S, Kewanee, IL 61433"
70,8887083379,6,"304 SW 12TH ST, ALEDO, IL 61231"
71,9194005034,1,"609 N HARPHAM ST, HAVANA, IL 62644"
72,9232095006,1,"275 E CARL SANDBURG DR, GALESBURG, IL 61401"
73,9271007047,1,"1409 N MAIN ST, BENTON, IL 62812"
74,9470698003,1,"901 ILLINI DR, EAST PEORIA, IL 61611"
75,9604483006,12,"5533 N GALENA RD, PEORIA HEIGHTS, IL 61616"
76,9705933294,1,"1945 TOULON TW, TOULON, IL 61483"
77,9726007433,1,"1610 N LAKEWOOD DR, EFFINGHAM, IL 62401"
