Electric Usage,,,,,,,,
Month,kWh,,,,,,,
Jul-15,38477,Bill Summary,,,,,,
Aug-15,34894,Previous Balance,,,,,,
Sep-15,35881,Total Payments - Thank You,,,,,,
Oct-15,34658,"Amount Due on July 19, 2016",,,,,,
Nov-15,32342,,,,,,,
Dec-15,33217,,,,,,,
Jan-16,34405,,,,,,,
Feb-16,35186,,,,,,,
Mar-16,32325,,,,,,,
Apr-16,31649,Actual,,Actual,,,,59.12
May-16,32791,,,,,,,
Jun-16,34173,,,,,,,
Jul-16,37625,,,,,,,
Average Daily,,,,,,,,
Month Billed,kWh,Temp,,,,,,
Last Year,1131.7,70,,,,,,
Last Month,1139.1,62,,,,,,
Current Month,1297.4,72,,,,,,
