Monthly service charge,$\$ 5.04$
Charges for delivering electric to you:,
Annual Demand,"$15,600 \mathrm{~kW} \times \$ 5.303205$"
The highest Measured Demand in any time period in the current month.,$\$ 82.73$
Summer Demand,"$15,600 \mathrm{~kW} \times \$ 10.037821$"
The Measured Demand (excluding off-peak) in each billing month of June through September.,
kWh charges,"$5,762 \mathrm{kWh} \times \$ 0.011147$"
Societal Benefits,"$5,762 \mathrm{kWh} \times \$ 0.010413$"
"This charge recovers the cost of government mandated programs designed to achieve public policy goals, such as energy conservation.",$\$ 60.00$
Total electric delivery charges,$\$ 368.59$
Supply charges,
BGS Capacity,
Generation,"$17,092 \mathrm{~kW} \times \$ 1,741165$"
Transmission,"$15,438 \mathrm{~kW} \times \$ 13,293820$"
Cost of electric supplied by PSE\&G:,
Charges,
For the first,"$1,728 \mathrm{kWh} \times \$ 0.073247$"
For the next,"$4,034 \mathrm{kWh} \times \$ 0.064564$"
Total electric supply charges,$\$ 622.01$
Total electric charges,$\$ 990.60$
