Account Name,Service Address,City,State,Zip,Utility,Utility Account \#,Rate Class \#
"Pangea Ventures, LLC",7801 S CORNELL BLDG,CHICAGO,IL,60649,Peoples,0610877223-03393,Choice
"Pangea Ventures, LLC",1704 W 77TH ST BLDG,CHICAGO,IL,60620,Peoples,0600667672-00018,Choice
"Pangea Ventures, LLC",634 E 50TH PLACE BLDG,CHICAGO,IL,60615,Peoples,0610877223-02119,Choice
"Pangea Ventures, LLC",8901 S COTTAGE GROVE AVE BLDG,CHICAGO,IL,60619,Peoples,0600667632-00269,Choice
"Pangea Ventures, LLC",2517 E 77THBSMT,CHICAGO,IL,60649,Peoples,0610877223-02821,Choice
"Pangea Ventures, LLC",5011 1/2 W MAYPOLE AVE BSMNT,CHICAGO,IL,60644,Peoples,0600079352-00002,Choice
"Pangea Ventures, LLC",6401 S MAPLEWOOD AVE BLDG,CHICAGO,IL,60629,Peoples,0610877223-02572,Choice
"Pangea Ventures, LLC",4301 W POTOMAC AVE BSMT,CHICAGO,IL,60651,Peoples,0600667632-00277,Choice
"Pangea Ventures, LLC",7757 S PEORIA STREET BLDG,CHICAGO,IL,60620,Peoples,0610877223-00547,Choice
"Pangea Ventures, LLC",5966 W HURON ST BLDG,CHICAGO,IL,60644,Peoples,0600667672-00021,Choice
"Pangea Ventures, LLC",7055 S SAINT LAWRENCE BLDG,CHICAGO,IL,60637,Peoples,0610877223-02984,Choice
"Pangea Ventures, LLC",9043 E ESCANABA BLDG,CHICAGO,IL,60617,Peoples,0610877223-02978,Choice
"Pangea Ventures, LLC",3600 W FRAWKLIN BLVD BSMT,CHICAGO,IL,60624,Peoples,0610877223-02813,Choice
"Pangea Ventures, LLC",1450 W 81ST BLDG,CHICAGO,IL,60620,Peoples,0610877223-02650,Choice
"Pangea Ventures, LLC",1257 S CHRISTIANA AVE BLDG,CHICAGO,IL,50623,Peoples,0610877223-00078,Choice
"Pangea Ventures, LLC",13256 S PRAIRIE AVE BLDG,CHICAGO,IL,60827,Peoples,0610877223-00932,Choice
"Pangea Ventures, LLC",600 E 51ST BLDG,CHICAGO,IL,60615,Peoples,0610877223-01108,Choice
"Pangea Ventures, LLC",11250 S INDIANA AVE BLDG,CHICAGO,IL,60628,Peoples,0610877223-02592,Choice
"Pangea Ventures, LLC",5019 S SAINT LAWRENCE AVE BLDG,CHICAGO,IL,60615,Peoples,0610877223-01109,Choice
"Pangea Ventures, LLC",8204 S COTTAGE GROVE BLDG,CHICAGO,IL,60619,Peoples,0613515782-00002,Choice
"Pangea Ventures, LLC",7055 S PRINCETON AVE BLDG,CHICAGO,IL,60621,Peoples,0610877223-02985,Choice
"Pangea Ventures, LLC",7914 S KINGSTON AVE BLDG,CHICAGO,IL,60617,Peoples,0608299543-00021,Choice
"Pangea Ventures, LLC",2419 W 71STST BLDG,CHICAGO,IL,60629,Peoples,0610877223-02927,Choice
"Pangea Ventures, LLC",5048 W THOMAS ST BLDG BLDG,CHICAGO,IL,60651,Peoples,0610877223-00437,Choice
"Pangea Ventures, LLC",8935 S DAUPHIN AVE BLDG,CHICAGO,IL,60619,Peoples,0602241843-00055,Choice
"Pangea Ventures, LLC",7056 S EBERHART AVE BLDG,CHICAGO,IL,60637,Peoples,0610877223-02992,Choice
"Pangea Ventures, LLC",555 E 50TH PL BLDG,CHICAGO,IL,60615,Peoples,0610877223-01104,Choice
"Pangea Ventures, LLC",6101 S LANGLEY AVE BLDG,CHICAGO,IL,60637,Peoples,0610877223-02575,Choice
"Pangea Ventures, LLC",5040 W QUINCY ST BLDG,CHICAGO,IL,60644,Peoples,0609142657-00041,Choice
"Pangea Ventures, LLC",10935 S VERNON AVE BLDG,CHICAGO,IL,60628,Peoples,0610877223-02401,Choice
"Pangea Ventures, LLC",8056 S DREKEL BLDG,CHICAGO,IL,60619,Peoples,0603094930-00001,Choice
"Pangea Ventures, LLC",1145 N AUSTIN BLVD BLDG,CHICAGO,IL,60651,Peoples,0601520426-00013,Choice
