Tier 1 Allowance,43.00000,Therm
Tier 1 Usage,39.354839,Therms @ \$2.39227
Gas Mobile Home Park Surcharge \$0.00000,,0.00
Gas Procurement Credit ${ }^{1}$,,$-17.41$
Franchise Fee Surcharge,,0.01
Gas PPP Surcharge (\$0.11051 /Therm),,4.35
San Jose Utility Users' Tax (5.000\%),,3.84
San Jose Franchise Surcharge,,0.23
10/01/2024 - 10/21/2024,,
Tier 1 Allowance,90.30000,Therm
Tier 1 Usage,82.645161,Therms @ \$2.30397
Gas Mobile Home Park Surcharge \$0.00000,,0.00
Gas Procurement Credit ${ }^{1}$,,$-29.26$
Franchise Fee Surcharge,,0.08
Gas PPP Surcharge (\$0.11051 /Therm),,9.14
San Jose Utility Users' Tax (5.000\%),,8.06
San Jose Franchise Surcharge,,0.48
