Service Agreement ID: 0132045503,Meter Number,Usage,Amount
COMMERCIAL ENERGY Gas Procurement Charges,,160.000000,
Total,,,\$477.69
Service For: 4500 THE WOODS DR BLDG 16,,,
Service Agreement ID: 0139873501,,,
PG\&E Gas Delivery Charges,62180499,72.000000,
Service Agreement ID: 0135636802,,,
COMMERCIAL ENERGY Gas Procurement Charges,,72.000000,
Total,,,\$214.98
Service For: 4500 THE WOODS DR BLDG 15,,,
Service Agreement ID: 0134700551,,,
PG\&E Gas Delivery Charges,54068685,89.000000,
Service Agreement ID: 0139663132,,,
COMMERCIAL ENERGY Gas Procurement Charges,,89.000000,
Total,,,\$265.73
Service For: 4500 THE WOODS DR BLDG 18,,,
Service Agreement ID: 0131818898,,,
PG\&E Gas Delivery Charges,54070830,220.000000,
Service Agreement ID: 0139075690,,,
COMMERCIAL ENERGY Gas Procurement Charges,,220.000000,
Total,,,\$674.20
Service For: 4500 THE WOODS DR BLDG 20,,,
Service Agreement ID: 0130813029,,,
PG\&E Gas Delivery Charges,61498089,159.000000,
Service Agreement ID: 0131121310,,,
COMMERCIAL ENERGY Gas Procurement Charges,,159.000000,
Total,,,\$488.10
Service For: 4500 THE WOODS DR BLDG 19,,,
Service Agreement ID: 0138672461,,,
PG\&E Gas Delivery Charges,5407126X,36.000000,
Service Agreement ID: 0138808586,,,
COMMERCIAL ENERGY Gas Procurement Charges,,36.000000,
Total,,,\$107.47
Service For: 4500 THE WOODS DR BLDG 10,,,
Service Agreement ID: 0131638736,,,
PG\&E Electric Delivery Charges,1009114151,126.000000,kWh
Electric Adjustments,,,$-55.34$
