Tier 1 Allowance,43.00000,Therm
Tier 1 Usage,11.612903,Therms @ \$2.39227
Gas Mobile Home Park Surcharge $\$ 0.00000$,,
Gas Procurement Credit ${ }^{1}$,,
Franchise Fee Surcharge,,
Gas PPP Surcharge (\$0.11051 /Therm),,
San Jose Utility Users' Tax (5.000\%),,
10/01/2024 - 10/21/2024,,
Tier 1 Allowance,90.30000,Therm
Tier 1 Usage,24.387097,Therms @ \$2.30397
Gas Mobile Home Park Surcharge $\$ 0.00000$,,
Gas Procurement Credit ${ }^{1}$,,
Gas PPP Surcharge (\$0.11051 /Therm),,
San Jose Utility Users' Tax (5.000\%),,
