Service Agreement ID: 0136258906,Meter Number,Usage,Amount
COMMERCIAL ENERGY Gas Procurement Charges,,117.000000 Therm,\$96.07
Total,,,\$349.32
Service For: 4500 THE WOODS DR BLDG 30,,,
Service Agreement ID: 0130358624,,,
PG\&E Electric Delivery Charges,1009104649,822.000000 kWh,\$12.79
Electric Adjustments,,,$-55.34$
Service Agreement ID: 0138807669,,,
SAN JOSE CLEAN ENERGY Electric Generation,,822.000000 kWh,\$122.09
Total,,,\$79.54
Service For: 4500 THE WOODS DR BLDG 33,,,
Service Agreement ID: 0131819849,,,
PG\&E Gas Delivery Charges,62182397,119.000000 Therm,\$257.56
Service Agreement ID: 0134807001,,,
COMMERCIAL ENERGY Gas Procurement Charges,,119.000000 Therm,\$97.71
Total,,,\$355.27
Service For: 4500 THE WOODS DR BLDG 32,,,
Service Agreement ID: 0137590427,,,
PG\&E Electric Delivery Charges,1009113655,99.000000 kWh,\$12.79
Electric Adjustments,,,$-55.34$
Service Agreement ID: 0138357772,,,
SAN JOSE CLEAN ENERGY Electric Generation,,99.000000 kWh,\$0.00
Total,,,- $\$ 42.55$
Service For: 4500 THE WOODS DR BLDG 31,,,
Service Agreement ID: 0135839446,,,
PG\&E Gas Delivery Charges,33548966,123.000000 Therm,\$266.23
Service Agreement ID: 0134570575,,,
COMMERCIAL ENERGY Gas Procurement Charges,,123.000000 Therm,\$100.99
Total,,,\$367.22
Service For: 4500 THE WOODS DR BLDG 22,,,
Service Agreement ID: 0138933373,,,
PG\&E Electric Delivery Charges,1009115148,75.000000 kWh,\$12.79
Electric Adjustments,,,$-55.34$
Service Agreement ID: 0137568699,,,
SAN JOSE CLEAN ENERGY Electric Generation,,75.000000 kWh,\$0.00
Total,,,- $\$ 42.55$
Service For: 4500 THE WOODS DR BLDG 7,,,
Service Agreement ID: 0135233019,,,
PG\&E Gas Delivery Charges,54721403,183.000000 Therm,\$396.11
