Tier 1 Allowance,43.00000,Therm
Tier 1 Usage,43.000000,Therm
Tier 2 Usage,8.290323,
Gas Mobile Home Park Surcharge \$0.00000,,0.00
Gas Procurement Credit ${ }^{1}$,,$-22.69$
Franchise Fee Surcharge,,0.02
Gas PPP Surcharge (\$0.11051 /Therm),,5.66
San Jose Utility Users' Tax (5.000\%),,5.21
San Jose Franchise Surcharge,,0.31
10/01/2024 - 10/21/2024,,
Tier 1 Allowance,90.30000,
Tier 1 Usage,90.300000,
Tier 2 Usage,17.409677,
Gas Mobile Home Park Surcharge $\$ 0.00000$,,0.00
Gas Procurement Credit ${ }^{1}$,,$-38.13$
Franchise Fee Surcharge,,0.10
Gas PPP Surcharge (\$0.11051 /Therm),,11.92
San Jose Utility Users' Tax (5.000\%),,10.93
San Jose Franchise Surcharge,,0.66
