Tier 1 Allowance,43.00000,Therm
Tier 1 Usage,23.225806,Therms @ \$2.39227
Gas Mobile Home Park Surcharge $\$ 0.00000$,,
Gas Procurement Credit ${ }^{1}$,-10.27,
Franchise Fee Surcharge,0.01,
Gas PPP Surcharge (\$0.11051 /Therm),2.57,
San Jose Utility Users' Tax (5.000\%),2.26,
San Jose Franchise Surcharge,0.14,
10/01/2024 - 10/21/2024,,
Tier 1 Allowance,90.30000,Therm
Tier 1 Usage,48.774194,Therms @ \$2.30397
Gas Mobile Home Park Surcharge $\$ 0.00000$,0.00,
Gas Procurement Credit ${ }^{1}$,-17.27,
Franchise Fee Surcharge,0.04,
Gas PPP Surcharge (\$0.11051 /Therm),5.40,
San Jose Utility Users' Tax (5.000\%),4.76,
San Jose Franchise Surcharge,0.29,
