Tier 1 Allowance,60.20000,Therm
Tier 1 Usage,40.967742,Therms @ \$2.39227
Gas Mobile Home Park Surcharge $\$ 0.00000$,,
Gas Procurement Credit ${ }^{1}$,-18.12,
Franchise Fee Surcharge,0.02,
Gas PPP Surcharge (\$0.11051 /Therm),4.53,
San Jose Utility Users' Tax (5.000\%),3.99,
San Jose Franchise Surcharge,0.24,
10/01/2024 - 10/21/2024,,
Tier 1 Allowance,126.42000,Therm
Tier 1 Usage,86.032258,Therms @ \$2.30397
Gas Mobile Home Park Surcharge $\$ 0.00000$,0.00,
Gas Procurement Credit ${ }^{1}$,-30.46,
Franchise Fee Surcharge,0.08,
Gas PPP Surcharge (\$0.11051 /Therm),9.51,
San Jose Utility Users' Tax (5.000\%),8.39,
San Jose Franchise Surcharge,0.50,
