Tier 1 Allowance,51.60000,Therm
Tier 1 Usage,44.516129,Therm
Gas Mobile Home Park Surcharge \$0.00000,,0.00
Gas Procurement Credit ${ }^{1}$,,$-19.69$
Franchise Fee Surcharge,,0.02
Gas PPP Surcharge (\$0.11051 /Therm),,4.93
San Jose Utility Users' Tax (5.000\%),,4.34
San Jose Franchise Surcharge,,0.26
10/01/2024 - 10/21/2024,,
Tier 1 Allowance,108.36000,Therm
Tier 1 Usage,93.483871,Therm
Gas Mobile Home Park Surcharge \$0.00000,,0.00
Gas Procurement Credit ${ }^{1}$,,$-33.10$
Franchise Fee Surcharge,,0.09
Gas PPP Surcharge (\$0.11051 /Therm),,10.33
San Jose Utility Users' Tax (5.000\%),,9.11
San Jose Franchise Surcharge,,0.55
