Tier 1 Allowance,60.20000,Therm
Tier 1 Usage,45.806452,Therm
Gas Mobile Home Park Surcharge \$0.00000,,0.00
Gas Procurement Credit ${ }^{1}$,,$-20.26$
Franchise Fee Surcharge,,0.02
Gas PPP Surcharge (\$0.11051 /Therm),,5.06
San Jose Utility Users' Tax (5.000\%),,4.47
San Jose Franchise Surcharge,,0.27
10/01/2024 - 10/21/2024,,
Tier 1 Allowance,126.42000,Therm
Tier 1 Usage,96.193548,Therm
Gas Mobile Home Park Surcharge \$0.00000,,0.00
Gas Procurement Credit ${ }^{1}$,,$-34.05$
Franchise Fee Surcharge,,0.09
Gas PPP Surcharge (\$0.11051 /Therm),,10.63
San Jose Utility Users' Tax (5.000\%),,9.38
San Jose Franchise Surcharge,,0.56
