Tier 1 Allowance,43.00000,Therm
Tier 1 Usage,39.666667,Therms @ \$2.39227 \$94.89
Gas Mobile Home Park Surcharge \$0.00000,,0.00
Gas Procurement Credit ${ }^{1}$,,$-17.55$
Franchise Fee Surcharge,,0.01
Gas PPP Surcharge (\$0.11051 /Therm),,4.38
San Jose Utility Users' Tax (5.000\%),,3.87
San Jose Franchise Surcharge,,0.23
10/01/2024 - 10/20/2024,,
Tier 1 Allowance,86.00000,Therm
Tier 1 Usage,79.333333,Therms @ \$2.30397 \$182.78
Gas Mobile Home Park Surcharge \$0.00000,,0.00
Gas Procurement Credit ${ }^{1}$,,$-28.09$
Franchise Fee Surcharge,,0.07
Gas PPP Surcharge (\$0.11051 /Therm),,8.76
San Jose Utility Users' Tax (5.000\%),,7.73
San Jose Franchise Surcharge,,0.46
