"Commodity Charge 3,515.6 Ccf @ \$0.49387","\$1,736.25"
Total Supply Charges,"$\$ 1,736.25$"
Delivery Charges,
Customer Charge @ \$25.35,$\$ 18.59$
"Distribution Charge 3,515.6 Ccf @ \$0.69781","$\$ 2,453.22$"
Distribution System Improvement Charge 7.5\%,$\$ 185.39$
Gas Cost Adjustment @ -\$0.13612,-\$478.54
Weather Normalization Adjustment,-\$0.89
Total Delivery Charges,"$\$ 2,177.77$"
Supply Charges,
"Commodity Charge 1,278.4 Ccf @ \$0.52559",$\$ 671.91$
Total Supply Charges,$\$ 671.91$
Delivery Charges,
Customer Charge @ \$25.35,$\$ 6.76$
"Distribution Charge 1,278.4 Ccf @ \$0.70661",$\$ 903.33$
Distribution System Improvement Charge 7.5\%,$\$ 68.26$
Gas Cost Adjustment @ -\$0.11765,-\$150.40
Weather Normalization Adjustment,-\$0.33
Total Delivery Charges,$\$ 827.62$
"CITY SALES TAX 1\% OF \$5,413.55",$\$ 54.14$
"STATE/CITY SALES TAX 7\% OF \$5,413.55",$\$ 378.95$
Total Billing Charges,"$\$ 5,846.64$"
