Electricity Supply Services,,,,,\$14.68
Electricity Supply Charge,,217 kWh,X,0.05857,12.71
Transmission Services Charge,,217 kWh,X,0.01095,2.38
Purchased Electricity Adjustment,,,,,$-0.41$
Delivery Services - ComEd,,,,,\$55.23
Customer Charge,,,,,17.26
Standard Metering Charge,,,,,12.38
Distribution Facilities Charge,,4.10 kW,X,6.18000,25.34
IL Electricity Distribution Charge,,217 kWh,X,0.00115,0.25
Taxes and Other,,,,,\$4.28
Environmental Cost Recovery Adj,,217 kWh,X,0.00020,0.04
Energy Efficiency Programs,,217 kWh,X,0.00434,0.94
Franchise Cost,,\$49.98,X,2.55300\%,1.28
State Tax,,,,,0.72
