DESCRIPTION,USAGE UNITS,RATE,CHARGE
Service \& Facility,,,$\$ 102.99$
Usage Charge,570.70 Dth,$\$ 0.230209$,$\$ 131.38$
Capacity Charge,54 Dth,$\$ 8.730000$,$\$ 471.42$
Natural Gas 1 Qtr,402.10 Dth,$\$ 1.813000$,$\$ 729.13$
Natural Gas 2 Qtr,168.50 Dth,$\$ 1.307000$,$\$ 220.27$
DSMCA,,,$\$ 13.70$
Interstate Pipeline,570.70 Dth,$\$ 0.509006$,$\$ 290.49$
Pipe Sys Int Adj,570.70 Dth,$\$ 0.460102$,$\$ 262.58$
Subtotal,,,"$\$ 2,221.96$"
Franchise Fee,,$3.00 \%$,$\$ 66.66$
Sales Tax,,,$\$ 190.18$
Total,,,"$\$ 2,478.80$"
