Details of Gas Charges 11/14/2022 - 12/13/2022 (30 billing days) Service For: 1520 SOUTHWEST EXPY Service Agreement ID: 8834933230 Rate Schedule: GM XW Master-Metered Multi-Family Service Number of Dwelling Units: 73 11/14/2022 - 11/30/2022,
Tier 1 Allowance,533.63000 Therm
Tier 1 Usage,533.630000 Therm (i) \$2.30071
Tier 2 Usage,675.636667 Therm (i) \$2.76870
Gas PPP Surcharge (\$0.10346 /Therm),125.10
San Jose Utility Users' Tax (5.000\%),154.92
San Jose Franchise Surcharge,9.30
12/01/2022 - 12/13/2022,
Tier 1 Allowance,408.07000 Therm
Tier 1 Usage,408.070000 Therm (i) \$2.34123
Tier 2 Usage,516.663333 Therm (i) \$2.80922
Gas PPP Surcharge (\$0.10346 /Therm),95.67
San Jose Utility Users' Tax (5.000\%),120.34
San Jose Franchise Surcharge,7.22
