Atty GenI consultant exp adj,14046.00kWh X $\$ 0.00002$,$\$ 0.28$
Storm recovery adjustment,14046.00 kWh X $\$ 0.00218$,$\$ 30.62$
Exogenous Cost Adjustment,14046.00 kWh X $\$ 0.00070$,$\$ 9.83$
Revenue Decoupling Adj,14046.00 kWh X $\$ 0.00212$,$\$ 29.78$
Lng-Trm Rnwbl Contr Adj,14046.00 kWh X $\$$-0.00306$,$-\$ 42.98$
Vegetation Management,14046.00 kWh X $\$ 0.00089$,$\$ 12.50$
Solar Expansion Charge,14046.00 kWh X $\$$-0.00027,$-\$ 3.79$
Grid Modernization Charge,14046.00 kWh X $\$ 0.00130$,$\$ 18.26$
Tax Act Credit,14046.00 kWh X $\$$-0.00113,$-\$ 15.87$
Distributed Solar Charge,14046.00 kWh X $\$ 0.00327$,$\$ 45.93$
Advanced Meter Infrastructure,14046.00 kWh X $\$ 0.00222$,$\$ 31.18$
Subtotal Delivery Services,,"$\$ 1,283.08$"
Total Cost of Electricity,,"$\$ 2,778.98$"
