Usage Values,,
Billed kWh,,"35,576.640 kWh"
Actual kVA,,124.221 kVA
Actual Demand-kW,,111.360 kW
Billed Demand-kW,,111.799 kW
Billed Demand-kVA,,124.221 kVA
Power Factor,,89.852 \%
,,Choice Service ID 910119000262Z110155413
Current Electric Usage,,
Meter Number,Usage Type,Billing Period
108105546,Actual,Mar 25 - Apr 27
Usage Values,,
Billed kWh,,"35,411.040 kWh"
Actual kVA,,103.974 kVA
Actual Demand-kW,,95.360 kW
Billed Demand-kW,,108.800 kW
Billed Demand-kVA,,105.910 kVA
Power Factor,,90.039 \%
,,Choice Service ID 910119000262Z111814769
Current Gas usage for meter number 680376,,
Actual reading on May 25,,29490
Previous reading on Apr 28,,- 28985
Gas Used,,505 CCF
,Multiplier,$\times 10.0000$
,Gas used,"5,050.00 CCF"
Billed CCF,"5,050.000 CCF",
,,Choice Service ID 910119000262Z111814769
Current Gas usage for meter number 680376,,
Actual reading on Apr 27,,28985
Previous reading on Mar 25,,- 27858
Gas Used,,"1,127 CCF"
,Multiplier,$\times 10.0000$
,Gas used,"11,270.00 CCF"
Billed CCF,"11,270.000 CCF",
