Account Name,Service Address,City,State,Zip,Utility,Utility Account \#,Rate Class \#
"Pangea Ventures, LLC",7701 S MAY ST BLDG,CHICAGO,IL,60620,Peoples,0610877223-02576,Choice
"Pangea Ventures, LLC",8243 S ELLIS BLDG,CHICAGO,IL,60619,Peoples,0608299543-00012,Choice
"Pangea Ventures, LLC",701 N LOTUS AVE BLDG,CHICAGO,IL,60644,Peoples,0610877223-00489,Choice
"Pangea Ventures, LLC",7028 S CLYDE AVE BLDG,CHICAGO,IL,60649,Peoples,0610877223-02639,Choice
"Pangea Ventures, LLC",7609 S COLEAVE BLDG,CHICAGO,IL,60649,Peoples,0610877223-02552,Choice
"Pangea Ventures, LLC",10848 S PRAIRIE AVE BLDG,CHICAGO,IL,60637,Peoples,0610877223-02990,Choice
"Pangea Ventures, LLC",136 W 183RD ST BLDG,CHICAGO,IL,60827,Peoples,0610877223-00240,Choice
"Pangea Ventures, LLC",7915 S HERMITAGE BLDG,CHICAGO,IL,60620,Peoples,0610877223-02993,Choice
"Pangea Ventures, LLC",6618 S WABASH AVE BLDG,CHICAGO,IL,60637,Peoples,0610877223-02889,Choice
"Pangea Ventures, LLC",5846 W MADISON STR/BLDG,CHICAGO,IL,60644,Peoples,0610877223-01612,Choice
"Pangea Ventures, LLC",8231 S ELLIS AVE BLDG,CHICAGO,IL,60619,Peoples,0600599241-00002,Choice
"Pangea Ventures, LLC",2610 N LARAMIE AVE BLDG,CHICAGO,IL,60639,Peoples,0610877223-02982,Choice
"Pangea Ventures, LLC",3653 W FLOURNOY BLDG,CHICAGO,IL,60612,Peoples,0610877223-02268,Choice
"Pangea Ventures, LLC",6743 S OGLEIBY AVE,CHICAGO,IL,60649,Peoples,0610877223-02636,Choice
"Pangea Ventures, LLC",7700 S KINGSTON AVE BLDG,CHICAGO,IL,60649,Peoples,0610877223-02965,Choice
"Pangea Ventures, LLC",7949 S ELLIS BLDG,CHICAGO,IL,60619,Peoples,0610877223-02581,Choice
"Pangea Ventures, LLC",7800 S ASHLAND AVE BLDG,CHICAGO,IL,60620,Peoples,0610877223-01736,Choice
"Pangea Ventures, LLC",7620 S COLES AVE BLDG,CHICAGO,IL,60649,Peoples,0610877223-02623,Choice
"Pangea Ventures, LLC",4853 S PRAIRIE AVE BLDG,CHICAGO,IL,60615,Peoples,0610877223-02554,Choice
"Pangea Ventures, LLC",5854 S MICHIGAN AVE BLDG,CHICAGO,IL,60637,Peoples,0610877223-02674,Choice
"Pangea Ventures, LLC",5802 W IOWA BLDG,CHICAGO,IL,60651,Peoples,0600667672-00026,Choice
"Pangea Ventures, LLC",7951 S WOLCOTT AVE BLDG,CHICAGO,IL,60620,Peoples,0610877223-02938,Choice
"Pangea Ventures, LLC",8642 S INGLESIDE AVE BLDG,CHICAGO,IL,60619,Peoples,0610877223-00525,Choice
"Pangea Ventures, LLC",7929 S ELLIS BLDG,CHICAGO,IL,60619,Peoples,0610877223-01870,Choice
"Pangea Ventures, LLC",8155 S INGLESIDE AVE BLDG,CHICAGO,IL,60619,Peoples,0610877223-02609,Choice
"Pangea Ventures, LLC",211 E 71ST BLDG,CHICAGO,IL,60619,Peoples,0610877223-02640,Choice
"Pangea Ventures, LLC",2606 W 73RD ST BLDG,CHICAGO,IL,60649,Peoples,0604355805-00003,Choice
"Pangea Ventures, LLC",9049 S MUSKEGON AVE BLDG,CHICAGO,IL,60617,Peoples,0610877223-02981,Choice
"Pangea Ventures, LLC",5832 W NORTH AVE BLDG,CHICAGO,IL,60639,Peoples,0610877223-00402,Choice
"Pangea Ventures, LLC",8100S MARSHFIELD BLDG,CHICAGO,IL,60620,Peoples,0606647085-00003,Choice
"Pangea Ventures, LLC",5051 SFORRESTVILLE AVE BLDG,CHICAGO,IL,60615,Peoples,0610877223-02215,Choice
"Pangea Ventures, LLC",8456 S WABASH AVE BLDG,CHICAGO,IL,60619,Peoples,0610877223-00133,Choice
