Carbon Copy Events,Status,Timestamp
Deals Desk deals@powerkiosk.com,COPIED,Sent: 4/28/2023 4:44:01 PM
"Security Level: Email, Account Authentication (None)",,
Electronic Record and Signature Disclosure: <br> Not Offered via DocuSign,,
Witness Events,Signature,Timestamp
Notary Events,Signature,Timestamp
Envelope Summary Events,Status,Timestamps
Envelope Sent,Hashed/Encrypted,4/28/2023 3:46:04 PM
Certified Delivered,Security Checked,4/28/2023 4:40:29 PM
Signing Complete,Security Checked,4/28/2023 4:43:58 PM
Completed,Security Checked,4/28/2023 4:44:01 PM
Payment Events,Status,Timestamps
