Service from 9/27/2021 to 10/26/2021 - 29 Days,Commercial Hourly - 1000 kW to 10MW,,,
,Electricity Supply Services,,,"\$43,861.52"
Electricity Supply Charge,"517,996 kWh",,,"29,940.42"
Capacity Charge,"1,340.40 kW",X,6.09233,"8,166.16"
Transmission Services Charge,"517,996 kWh",X,0.00838,"4,340.81"
Misc Procurement Component Chg,"517,996 kWh",X,0.00091,471.38
Purchased Electricity Adjustment,,,,942.75
Delivery Services - ComEd,,,,"\$9,617.21"
Customer Charge,,,,554.12
Standard Metering Charge,,,,12.64
Distribution Facilities Charge,"1,056.59 kW",X,7.91000,"8,357.63"
IL Electricity Distribution Charge,"517,996 kWh",X,0.00121,626.78
Meter Lease,,,,66.04
Taxes and Other,,,,"\$7,873.80"
Environmental Cost Recovery Adj,"517,996 kWh",X,0.00022,113.96
Renewable Portfolio Standard,"517,996 kWh",X,0.00189,979.01
Zero Emission Standard,"517,996 kWh",X,0.00195,"1,010.09"
Energy Efficiency Programs,"517,996 kWh",X,0.00137,709.65
Franchise Cost,,,,"1,607.59"
State Tax,,,,"1,550.69"
Municipal Tax,,,,"1,902.81"
Total Current Charges,,,,"\$61,352.53"
Miscellaneous,,,,"\$6,214.05"
Charges from previous bill,,,,"3,349.05"
Current late payment charge (s) - electric,,,,"2,865.00"
"Thank you for your payment of \$56,498.86 on October 25, 2021",,,,
"Thank you for your payment of \$71,371.39 on October 25, 2021",,,,
