Payee Code,,Payee Name,Description,Content,Property,Service Date,Payment Median,,Service,Account,,Service #,Amount,,Due Date,Urgent,Payment/,Payment/,
,,,,,,,,Post Month,,,,,,,,Amount,Receipt #,Receipt Date,
(192),Condit,,,,,,,,,,,,,,,,,,
,,,Building Act (CCM-VC/2021),P-650/65,,092,01/2021,,Chest,02-0021,,5000-1000-8995-0001-1000aw - Electric,,3000/07/01/ 0221,,"27,025.46",01/2021,,0.00,2822,02/02021
,,,Building Act (CCM-VC/0121),P-651/1/0,,092,03/2021,,Chest,03-0021,,5000-1000-8995-0001-1000aw - Electric,,3000/07/01/ 0321,,"41,895.63",03/2021,,0.00,2824,02/02021
,,,Condit Building Act (CCCC-VC/221),P-650/072,,092,07/22021,,Chest,04-0021,,5000-1000-8995-0001-1000aw - Electric,,3000/07/01/ 0421,,"34,895.51",07/22021,,0.00,2898,04/2021
,,,Condit Building Act (CBCC-VC/221),P-650/220,,092,02/02021,,Chest,05-0021,,5000-1000-8995-0001-1000aw - Electric,,3000/07/01/ 0521,,"42,829.73",02/02021,,0.00,3146,07/2021
,,,Condit Building Act (CM-VC/0),P-650/40,,092,02/02021,,Chest,05-0021,,5000-1000-8995-0001-1000aw - Electric,,3000/07/01/ 0421,,"27,035.35",02/02021,,0.00,3144,07/2021
,,,Building Act (CCV-VC/0),P-700/077,,092,02/02020,,Chest,07-0021,,5000-1000-8995-0001-1000aw - Electric,,3000/07/01/ 0621,,"46,307.64",02/02020,,0.00,3359,07/22021
,,,Building Act (CM-BC/021),P-707/782,,092,02/21021,,Chest,03-0021,,5000-1000-8995-0001-1000aw - Electric,,3000/07/01/ 0621,,"39,761.62",02/21021,,0.00,3712,03/122021
,,,Building Act (CM-VC/021),P-707/783,,092,02/02021,,Chest,03-0021,,5000-1000-8995-0001-1000aw - Electric,,3000/07/01/ 0521,,"31,271.39",02/02021,,0.00,3713,03/122021
,,,Building Act (CM-TC/021),P-707/784,,092,02/02021,,Chest,03-0021,,5000-1000-8995-0001-1000aw - Electric,,3000/07/01/ 0721,,"30,498.86",02/02021,,0.00,3714,03/122021
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
