Atty Geni consultant exp adj,10835.00kWh X $\$ 0.00002$,$\$ 0.22$
Storm recovery adjustment,10835.00kWh X $\$ 0.00218$,$\$ 23.62$
Exogenous Cost Adjustment,10835.00kWh X $\$ 0.00070$,$\$ 7.58$
Revenue Decoupling Adj,10835.00kWh X $\$ 0.00212$,$\$ 22.97$
Lng-Trm Rnwbl Contr Adj,10835.00kWh X $\$$-0.00306$,$-\$ 33.16$
Vegetation Management,10835.00kWh X $\$ 0.00089$,$\$ 9.64$
Solar Expansion Charge,10835.00kWh X $\$-0.00027$,$-\$ 2.93$
Grid Modernization Charge,10835.00kWh X $\$ 0.00130$,$\$ 14.09$
Tax Act Credit,10835.00kWh X $\$-0.00113$,$-\$ 12.24$
Distributed Solar Charge,10835.00kWh X $\$ 0.00327$,$\$ 35.43$
Advanced Meter Infrastructure,10835.00kWh X $\$ 0.00222$,$\$ 24.05$
Subtotal Delivery Services,,"$\$ 1,699.55$"
Total Cost of Electricity,,"$\$ 2,853.48$"
