Details of Gas Charges,
11/18/2022 - 12/16/2022 (29 billing days),
Service For: 455 BRAHMS WY $\bigcirc$ HSEMTR,
Service Agreement ID: 8459875005 HSE MTR,
Rate Schedule: GM XW Master-Metered Multi-Family Service,
Number of Dwelling Units: 57,
11/18/2022 - 11/30/2022,
Tier 1 Allowance,318.63000 Therm
Tier 1 Usage,285.103448 Therm
Gas PPP Surcharge (\$0.10346 /Therm),
Sunnyvale Utility Users' Tax (2.000\%),
12/01/2022 - 12/16/2022,
Tier 1 Allowance,392.16000 Therm
Tier 1 Usage,350.896552 Therm
Gas PPP Surcharge (\$0.10346 /Therm),
Sunnyvale Utility Users' Tax (2.000\%),
,"\$1,572.83"
