TABLE 1,,
Delivery Term Begins:,September 2018,
Delivery Term Ends:,November 2020,
Percent Product Quantity (\%),$100 \%$,
Percent Energy Price,On-Peak,Off-Peak
,$3.110 \mathrm{~K} / \mathrm{kWh}$,$3.110 \mathrm{~K} / \mathrm{kWh}$
Index Energy Price Adder,N/A,
Distribution Losses,Pass-Through,
Transmission Charge,Pass-Through,
Ancillary Services,$-0.016 \mathrm{~K} / \mathrm{kWh}$,
Capacity Charge,Pass-Through,
Mandatory Renewable Charge (RPS),$0.114 \mathrm{~K} / \mathrm{kWh}$,
Additional Voluntary Charge,$\mathrm{H} / \mathrm{A}$,
Voluntary Renewable Quantity (\%),$\mathrm{H} / \mathrm{A}$,
Delivery Service Provider:,"ComEd (""DSP"" or ""Utility"")",
Regional Transmission Organization:,"PJM (""RTO"")",
"Agent/Broker/Consultant (If blank, N/A):",Optimal Facility Management Solutions,
