State and Local Taxes and Other Mandated Charges,CHARGE DESCRIPTION,,USAGE,UNIT,RATE,CHARGE
,Customer Generation Charge,,,,,\#30.14
,Clean Energy Assistance Charge,Clean Energy Assistance Charge,"36,544.00",\&\&,,\#04.02
,Renewable Energy Adjustment*,,"36,544.00",\&\&,,\#167.37
,EDT Cost Recovery,EDT Cost Recovery,"36,544.00",\&\&,,\#45.62
,Electric Environmental Adjustment,Electric Environmental Adjustment,"36,544.00",\&\&,,\#34.87
,Energy Efficiency Programs Charge,Energy Efficiency Programs Charge,"36,544.00",\&\&,,\#04.37
,Energy Transition Assistance Charge*,Energy Transition Assistance Charge*,"36,544.00",\&\&,,\#28.31
,Galestung Municipal Tax,Galestung Municipal Tax,,,,\#164.89
,Illinois State Electricity Excise Tax,,,,,\#116.90
,,,Total Taxes and Other Charges,,,\#709.00
