www.nationalgridus.com,,,,
CUSTOMER SERVICE,,,,
1-800-322-3223,,,,
CREDIT DEPARTMENT,,,,
1-888-211-1313,,,,
POWER OUTAGE OR DOWNED LINE,,,,
1-800-465-1212,,,,
CONTACT US,,,,
rapid.com/me.confactus,,,,
CORRESPONDENCE ADDRESS,,,,
PO Box 960,,,,
"Northborough, MA 01532-0960",,,,
ELECTRIC PAYMENT ADDRESS,,,,
PO Box 11737,,,,
"Newark, NJ 07101-4737",,,,
DATE BILL ISSUED,,,,
"May 19, 2016",,,,
Enrollment Information,,,,
"To enroll with a supplier or change to another supplier, you will need the following information about your account: Loadzone WCMA",,,,
,65358-48023,"Cycle: 16, EMPI",,
Electric Usage History,,,,
Month,kWh,Month,kWh
May 15,146000,Dec 15,196000
Jun 15,167000,Jan 16,264000
Jul 15,214000,Feb 16,287000
Aug 15,204000,Mar 16,226000
Sep 15,186000,Apr 16,178000
Oct 15,166000,May 16,151000
Nov 15,171000,,
