Customer Service 1-866-DOM-HELP (1-866-366-4357),,
Previous Balance,"2,087.14",
Payment Received,0.00,
Balance Forward,,"2,087.14"
Non-Residential Service (Schedule GS-2) 04/29-05/29,,
Distribution Service,,
Basic Customer Charge,,19.89
Distribution Service kWh,,1.86
Dist Serv Demand Charge,,238.73
All Applicable Distribution Riders,,37.10
Electricity Supply Svc (ESS),,
Electricity Supply kWh,,789.51
Demand Charge,,48.23
Transmission Demand Chg,,147.83
Fuel,,669.60
All Other Applicable ESS Riders,,325.08
Sales and Use Surcharge,,11.41
State/Local Consumption Tax,,25.43
LOUDOUN Utility Tax,,72.00
Late Payment Charge,,29.90
Base Rate Case Credit,,561.38 CR
Total Current Charges,,"1,855.19"
Total Account Balance,,"3,942.33"
