Read Dates,Meter Number,Load Type,Reading Type,Previous,Present,Difference,Multiplier,Usage
5/7-6/6,230118858,General Service,Off Pk kW,Actual,Actual,,,10.72
5/7-6/6,230118858,General Service,On Pk kW,Actual,Actual,,,10.57
5/7-6/6,230118858,General Service,Total kWh,Actual,Actual,,,7678
5/7-6/6,230119402,General Service,Off Pk kW,Actual,Actual,,,10.32
5/7-6/6,230119402,General Service,On Pk kW,Actual,Actual,,,10.52
5/7-6/6,230119402,General Service,Total kWh,Actual,Actual,,,4223
5/7-6/6,230119463,General Service,Off Pk kW,Actual,Actual,,,6.96
5/7-6/6,230119463,General Service,On Pk kW,Actual,Actual,,,11.88
5/7-6/6,230119463,General Service,Total kWh,Actual,Actual,,,6060
5/7-6/6,230193878,General Service,Off Pk kW,Actual,Actual,,,50.12
5/7-6/6,230193878,General Service,On Pk kW,Actual,Actual,,,36.94
5/7-6/6,230193878,General Service,Total kWh,Actual,Actual,,,15126
5/7-6/6,230193880,General Service,Off Pk kW,Actual,Actual,,,8.53
5/7-6/6,230193880,General Service,On Pk kW,Actual,Actual,,,10.76
5/7-6/6,230193880,General Service,Total kWh,Actual,Actual,,,5660
