Details of Gas Charges,
11/02/2022 - 12/02/2022 (31 billing days),
Service For: 1560 SOUTHWEST EXPY,
Service Agreement ID: 1160623300,
Rate Schedule: GM XW Master-Metered Multi-Family Service,
Number of Dwelling Units: 120,
11/02/2022 - 11/30/2022,
Tier 1 Allowance,"1,496.40000 Therm"
Tier 1 Usage,"1,496.400000 Therm @ $\$ 2.30071$"
Tier 2 Usage,"4,162.341935 Therm @ $\$ 2.76870$"
Gas PPP Surcharge (\$0.10346 /Therm),585.45
San Jose Utility Users' Tax (5.000\%),748.35
San Jose Franchise Surcharge,44.90
12/01/2022 - 12/02/2022,
Tier 1 Allowance,103.20000 Therm
Tier 1 Usage,103.200000 Therm @ $\$ 2.34123$
Tier 2 Usage,287.058065 Therm @ $\$ 2.80922$
Gas PPP Surcharge (\$0.10346 /Therm),40.37
San Jose Utility Users' Tax (5.000\%),52.40
San Jose Franchise Surcharge,3.14
