Generation - Off Peak - Winter,68.000000,kWh,@ \$0.12629,\$8.59
Generation - Off Peak - Summer,1.000000,kWh,@ \$0.12771,0.13
Generation - On Peak - Winter,111.000000,kWh,@ \$0.14340,15.92
Generation - Part Peak - Summer,$-2.000000$,kWh,@ \$0.14978,$-0.30$
Generation - On Peak - Summer,55.000000,kWh,@ \$0.20200,11.11
,,Net Charges,35.45,
Local Utility Users Tax,,,,1.77
Energy Commission Surcharge,,,,0.07
Charged to NEM Balance,,,,$-37.29$
Your NEM Credit balance is $\$ 93.42$.,,,,
Your cumulative kWh relevant period year-to-date: -959 kWh,,,,
Your service: GreenSource - SJCE's standard service with more renewable energy,,,,
"For more detail on your San Jose Clean Energy bill, call us at 833-432-2454",,,,
