Service For: 4300 THE WOODS DR BLDG 15,Meter Number,Usage,Amount
Service Agreement ID: 8373233797,,,
PG\&E Electric Delivery Charges,1009116012,131.000000 kWh,$\$ 10.72$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 8377239981,,,
SAN JOSE CLEAN ENERGY Electric Generation,,131.000000 kWh,$\$ 18.59$
Total,,,$-\$ 26.03$
Service For: 4300 THE WOODS DR BLDG 18,,,
Service Agreement ID: 8379490199,,,
PG\&E Electric Delivery Charges,1009114998,738.000000 kWh,$\$ 21.25$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 8376024631,,,
SAN JOSE CLEAN ENERGY Electric Generation,,738.000000 kWh,$\$ 102.09$
Total,,,$\$ 68.00$
Service For: 4300 THE WOODS DR BLDG 20,,,
Service Agreement ID: 8376696651,,,
PG\&E Electric Delivery Charges,1009115629,62.000000 kWh,$\$ 21.25$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 8375196560,,,
SAN JOSE CLEAN ENERGY Electric Generation,,62.000000 kWh,$\$ 0.00$
Total,,,$-\$ 34.09$
Service For: 4300 THE WOODS DR BLDG 24,,,
Service Agreement ID: 8379472977,,,
PG\&E Electric Delivery Charges,1009107851,233.000000 kWh,$\$ 10.72$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 8371738297,,,
SAN JOSE CLEAN ENERGY Electric Generation,,233.000000 kWh,$\$ 0.00$
Total,,,$-\$ 44.62$
Service For: 4300 THE WOODS DR,,,
Service Agreement ID: 8379075537,,,
PG\&E Electric Delivery Charges,1010116548,"6,266.000000 kWh","$\$ 1,525.89$"
Electric Adjustments,,,$-55.34$
Service Agreement ID: 8370931206,,,
SAN JOSE CLEAN ENERGY Electric Generation,,"6,266.000000 kWh",$\$ 959.42$
Total,,electric pool,"$\$ 2,429.97$"
Service For: 4300 THE WOODS DR,,,
Service Agreement ID: 8377102985,,,
PG\&E Gas Delivery Charges,52425285,533.000000 Therm,$\$ 838.58$
