Comb Public Benefit Chrg,49.10 kWh X $\$ 0.00768$,$\$ 0.38$
Local Delivery Improvements,49.10 kWh X $\$ 0.02179$,$\$ 1.07$
(DISTRIBUTION RATE: 117),,
Service Reference: 729963005,,
Transmission,833.60 kWh X $\$ 0.02454$,$\$ 20.46$
Local Delivery,$\$ 25.76$,
Revenue Decoupling,833.60 kWh X $\$ 0.00080$,$\$ 0.67$
CTA,833.60 kWh X $\$ 0.00046$,- $\$ 0.38$
FMCC Charge,833.60 kWh X $\$ 0.00192$,$\$ 1.60$
Comb Public Benefit Chrg,833.60 kWh X $\$ 0.00768$,$\$ 6.40$
Local Delivery Improvements,833.60 kWh X $\$ 0.02179$,$\$ 18.16$
(DISTRIBUTION RATE: 117),,
Service Reference: 747373003,,
Transmission,271.50 kWh X $\$ 0.02454$,$\$ 6.66$
Local Delivery,271.50 kWh X $\$ 0.00080$,$\$ 11.78$
Revenue Decoupling,271.50 kWh X $\$ 0.00046$,- $\$ 0.12$
CTA,271.50 kWh X $\$ 0.00192$,$\$ 0.52$
FMCC Charge,271.50 kWh X $\$ 0.00768$,$\$ 2.09$
Comb Public Benefit Chrg,271.50 kWh X $\$ 0.02179$,$\$ 5.92$
Local Delivery Improvements,,
(DISTRIBUTION RATE: 117),,
Service Reference: 785963000,,
Transmission,208.60 kWh X $\$ 0.02454$,$\$ 5.12$
Local Delivery,208.60 kWh X $\$ 0.00080$,$\$ 5.37$
Revenue Decoupling,208.60 kWh X $\$ 0.00046$,- $\$ 0.17$
CTA,208.60 kWh X $\$ 0.00046$,- $\$ 0.10$
FMCC Charge,208.60 kWh X $\$ 0.00192$,$\$ 0.40$
Comb Public Benefit Chrg,208.60 kWh X $\$ 0.00768$,$\$ 1.60$
Local Delivery Improvements,208.60 kWh X $\$ 0.02179$,$\$ 4.55$
(DISTRIBUTION RATE: 117),,
Service Reference: 792973002,,
Transmission,26.50 kWh X $\$ 0.02454$,$\$ 0.65$
Local Delivery,26.50 kWh X $\$ 0.02454$,$\$ 1.34$
Revenue Decoupling,26.50 kWh X $\$ 0.00080$,$\$ 0.02$
CTA,26.50 kWh X $\$ 0.00046$,- $\$ 0.01$
FMCC Charge,26.50 kWh X $\$ 0.00192$,$\$ 0.05$
Comb Public Benefit Chrg,26.50 kWh X $\$ 0.00768$,$\$ 0.20$
Local Delivery Improvements,26.50 kWh X $\$ 0.02179$,$\$ 0.58$
(DISTRIBUTION RATE: 117),,
