,Meter Number,Usage,Amount
Service Agreement ID: 5395897418,,,
COMMERCIAL ENERGY Gas Procurement Charges,,580.000000,Therm
Total,,,"\$1,809.31"
Service For: 4100 THE WOODS DR BLDG 3,,,
Service Agreement ID: 5392366455,,,
PG\&E Electric Delivery Charges,1009180380,201.000000,kWh
Electric Adjustments,,,$-55.34$
Service Agreement ID: 5399014701,,,
SAN JOSE CLEAN ENERGY Electric Generation,,201.000000,kWh
Total,,,- $\$ 12.82$
Service For: 4100 THE WOODS DR BLDG 9-10,,,
Service Agreement ID: 5397269992,,,
PG\&E Electric Delivery Charges,1009116085,305.000000,kWh
Electric Adjustments,,,$-55.34$
Service Agreement ID: 5395609827,,,
SAN JOSE CLEAN ENERGY Electric Generation,,305.000000,kWh
Service Agreement ID: 5391448723,,,
PG\&E Gas Delivery Charges,61499542,220.000000,Therm
Service Agreement ID: 5396350734,,,
COMMERCIAL ENERGY Gas Procurement Charges,,220.000000,Therm
Total,,,$\$ 684.13$
