Generation - Off Peak - Winter,179.000000,kWh,@ \$0.12542,\$22.45
Generation - Off Peak - Summer,98.000000,kWh,@ \$0.12816,12.56
Generation - On Peak - Winter,49.000000,kWh,@ \$0.15209,7.45
Generation - On Peak - Summer,27.000000,kWh,@ \$0.21116,5.70
,,Net Charges,48.16,
Local Utility Users Tax,,,,2.41
Energy Commission Surcharge,,,,0.11
Your NEM Balance Owed is $\$ 0.00$.,,,,
Your cumulative kWh relevant period year-to-date: 2320 kWh,,,,
Your service: GreenSource - SJCE's standard service with more renewable energy,,,,
"For more detail on your San Jose Clean Energy bill, call us at 833-432-2454",,,,
