Tier 1 Allowance,154.80000,Therm
Tier 1 Usage,70.967742,Therms @ \$2.39227
Gas Mobile Home Park Surcharge $\$ 0.00000$,0.00,
Gas Procurement Credit ${ }^{1}$,-31.39,
Franchise Fee Surcharge,0.03,
Gas PPP Surcharge (\$0.11051 /Therm),7.84,
San Jose Utility Users' Tax (5.000\%),6.92,
San Jose Franchise Surcharge,0.42,
10/01/2024 - 10/21/2024,,
Tier 1 Allowance,325.08000,Therm
Tier 1 Usage,149.032258,Therms @ \$2.30397
Gas Mobile Home Park Surcharge $\$ 0.00000$,0.00,
Gas Procurement Credit ${ }^{1}$,-52.76,
Franchise Fee Surcharge,0.14,
Gas PPP Surcharge (\$0.11051 /Therm),16.46,
San Jose Utility Users' Tax (5.000\%),14.53,
San Jose Franchise Surcharge,0.87,
